"","aggID.x","night_date.x","EPTFUS","LASBOR","LASCIN","LASNOC","MYOLEI","MYOLUC","MYOSEP","MYOSOD","NYCHUM","PERSUB","NOID","NOISE","EPTFUS.P","LASBOR.P","LASCIN.P","LASNOC.P","MYOLEI.P","MYOLUC.P","MYOSEP.P","MYOSOD.P","NYCHUM.P","PERSUB.P","Year","Week","open_water.x","developed_open.x","developed_low.x","developed_medium.x","developed_high.y","barren.x","deciduous_forest.x","evergreen_forest.x","mixed_forest.x","shrub.x","grassland.x","pasture.x","crops.x","woody_wetlands.x","herbaceous_wetlands.x","MeanElevation","MeanSlope","MeanAspect","OBJECTID","COUNT","AREA","MEAN","canopy.cover"
"1",149,"2021-05-11",0,3,0,0,1,6,2,4,0,3,0,12,1,0.1072558,1,1,0.6094316,0.0022572,0.4974002,0.1801873,1,0.1747892,2021,19,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"2",149,"2021-05-12",1,5,1,2,0,25,0,2,0,11,2,23,0.7195369,0.2487305,0.4060766,0.3285359,1,0,1,1,1,2.79e-05,2021,19,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"3",149,"2021-05-13",2,11,2,6,0,17,1,0,0,14,1,37,0.7263324,2.14e-05,0.2270965,0.0106457,1,2e-07,1,1,1,5.02e-05,2021,19,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"4",149,"2021-05-14",0,4,0,3,0,8,0,0,1,3,1,30,1,0.0128356,1,0.010544,1,0.0004102,1,1,1,0.3682247,2021,20,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"5",149,"2021-05-15",1,11,11,4,0,12,0,1,2,5,1,72,1,4e-07,0,0.690047,1,8.11e-05,1,1,1,0.4909768,2021,20,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"6",149,"2021-05-16",0,15,0,3,2,25,1,0,1,17,8,37,1,2e-07,1,0.0105442,0.1151707,0,1,1,1,2.79e-05,2021,20,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"7",149,"2021-05-17",10,11,6,7,0,13,0,4,1,18,11,70,0.0001641,5e-06,0.0068538,0.3229604,1,0.0001965,1,0.5400773,1,6e-07,2021,20,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"8",149,"2021-05-18",3,29,7,9,2,64,3,3,17,40,12,195,0.7128959,0,8.69e-05,0.0090428,0.4706816,0,1,1,1,0,2021,20,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"9",149,"2021-05-19",14,30,6,11,2,60,3,2,13,29,12,146,7.8e-06,0,0.030184,0.0623376,0.4399709,0,1,1,1,1.03e-05,2021,20,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
"10",149,"2021-05-20",8,46,4,4,1,37,3,3,28,45,15,181,0.0003082,0,0.0409979,0.7141973,0.9736846,1e-07,0.9976049,1,1,1e-07,2021,20,0.10206422,0.026376147,0,0,0,0,0.709862385,0.028669725,0.129587156,0,0,0,0,0.003440367,0,148.74171,5.8783312,81.358803,149,873,785700,74.08705613,74.08705613
